"MapoticID";"Longitude";"Latitude";"Name";"Category";"Rating";"Image URL";"Import ID";"Description";"Address";"Web";"E-mail";"Phone number";"Description";"Refreshment";"Diving";"Entrance";"Accessibility/parking";"Link";"Nudist beach";"Video";"Dog swimming"
"202737";"16.6730407";"49.2170289";"Lom Hády";"Quarry";"3.5";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202737/64172a0e-cf37-4bbd-8d51-c17d6633bd73.jpg";"swimplaces:51";"";"";"";"";"";"Jezírka v lomu";"No restaurant";"Suitable for diving";"No entrance fee";"Very close";"";"Suitable for nudists";"";""
"202738";"16.3723114";"49.2843266";"Lom Lažánky";"Quarry";"4.090909090909091";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202738/4738c50a-9703-4411-9a3a-60cf6253dc1e.jpg";"swimplaces:52";"";"";"";"";"";"hloubka, čistá voda, horší přístup k vodě";"No restaurant";"Suitable for diving";"No entrance fee";"Very close";"";"Suitable for nudists";"";""
"202739";"16.6529777";"49.4574023";"Koupaliště Újezd u Boskovic";"Swimming pool";"4.0";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202739/image-b6f12785-009c-48c8-a7b4-07176064bf24_XrzsSLy.jpg";"swimplaces:53";"";"";"";"";"";"Venkovní koupaliště na kopci s krásným výhledem.";"No restaurant";"Not suitable for diving";"No entrance fee";"";"";"Not suitable for nudists";"";""
"202740";"16.6584226";"49.3665741";"Nádrž Pálava Blansko";"Dam";"4.5";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202740/6f6b3c3e-8ae2-4df7-ad22-fc44237bc430.jpg";"swimplaces:54";"";"";"";"";"";"";"Restaurant on site";"Not suitable for diving";"No entrance fee";"Very close";"";"Not suitable for nudists";"";""
"202741";"16.6498395";"49.3495513";"Blansko - lom u nádraží";"Quarry";"4.875";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202741/d44207e6-e949-4274-888c-aa8d1518e374.jpg";"swimplaces:55";"";"";"";"";"";"";"No restaurant";"Suitable for diving";"No entrance fee";"Very close";"";"Not suitable for nudists";"";""
"202742";"18.1705179";"49.8912574";"Hlučínská štěrkovna";"Lake (pond)";"4.833333333333333";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202742/2df21ab9-04c9-46fa-af16-534a47b9a843.jpg";"swimplaces:56";"";"";"";"";"";"Jsou tu travnaté pláže.U vody je kemp, občerstvení, wakeboarding, nudistická pláž, bazén, hřiště na volejbal a je zde možnosti vodního lyžování. Vstupné je pro rok 2013, pro studenty 30,-- pro dospělé 40,-- děti zdarma.";"Restaurant on site";"Not suitable for diving";"Entrance fee";"Very close";"";"Suitable for nudists";"";""
"202743";"14.5716962";"50.4117715";"Harasov";"Lake (pond)";"3.6";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202743/2d71c5d2-70ab-488c-a20c-2cfee218a34b.jpg";"swimplaces:57";"";"";"";"";"";"Osvěžení mezi pískovcovými skalami.";"Restaurant on site";"Not suitable for diving";"No entrance fee";"Very close";"";"Not suitable for nudists";"";""
"202744";"15.6670299";"49.7028028";"Břevnická nádrž Chotěboř";"Dam";"3.3333333333333335";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202744/db43158d-6fd8-4d61-9a21-d5021b736d48.jpg";"swimplaces:58";"";"";"";"";"";"Koupání kousek za Chotěboří. Občas na ""pláži"" stánek s občerstvením.";"No restaurant";"Not suitable for diving";"No entrance fee";"Very close";"";"Not suitable for nudists";"";""
"202745";"17.1341392";"50.2977556";"Lom Rampa";"Quarry";"4.428571428571429";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202745/a8d9e22b-57fd-4949-8425-9b71bd67439c.jpg";"swimplaces:59";"";"";"";"";"";"Nejčistší koupání v Jeseníkách a teplota vody osvěžující.";"No restaurant";"Not suitable for diving";"No entrance fee";"Very close";"";"Not suitable for nudists";"";""
"202746";"17.2545704";"50.2801592";"Písečňák v Písečné";"Sand quarry";"2.25";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202746/87d4768c-7d93-42ce-87f1-baaed49f508e.jpg";"swimplaces:60";"";"";"";"";"";"Co víc k tomu dodat.. Snad jen, že tu bývá docela plno, ale místečko se dá najít. Částečně je tady i nudapláž.";"Restaurant on site";"Not suitable for diving";"Entrance fee";"100 m";"";"Suitable for nudists";"";""
"202747";"14.28047";"49.6900839";"Hříměždice";"Quarry";"4.8";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202747/image-3265e64e-cf31-4b7e-82d3-ca6abebdf10b_2048x980.jpg";"swimplaces:61";"";"";"";"";"";"Zatopený lom";"Restaurant on site";"Not suitable for diving";"No entrance fee";"Very close";"";"Not suitable for nudists";"";""
"202748";"16.1845997";"49.5632907";"Skalský dvůr";"Lake (pond)";"3.0";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202748/808acb04-7eb8-4661-8473-7ddd5b54b8a3.jpg";"swimplaces:62";"";"";"";"";"";"Rybník - momentálně ve stádiu odbahňování (17.7.2010).";"Restaurant on site";"Not suitable for diving";"No entrance fee";"";"";"Not suitable for nudists";"";""
"202749";"16.1335089";"49.5766498";"Zuberský rybník";"Lake (pond)";"";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202749/807ed294-4ff4-4a9f-8747-97f392a331bd.jpg";"swimplaces:63";"";"";"";"";"";"Občerstvení poblíž.";"Restaurant on site";"Not suitable for diving";"No entrance fee";"";"";"Not suitable for nudists";"";""
"202750";"14.376306";"50.28893";"Vojkovice";"Lake (pond)";"3.176470588235294";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202750/872c0142-8cfd-490e-a19a-fd7c61523b13.jpg";"swimplaces:64";"";"";"";"";"";"";"No restaurant";"Not suitable for diving";"No entrance fee";"Very close";"";"Not suitable for nudists";"";""
"202751";"16.7168679";"49.3326834";"Lom Rudice";"Quarry";"4.153846153846154";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202751/photo_1536x2048.jpg";"swimplaces:65";"";"";"";"";"";"Písek, kaolín, zabarvená voda ale bez problémů.";"No restaurant";"Not suitable for diving";"No entrance fee";"Very close";"";"Not suitable for nudists";"";""
"202752";"16.7610278";"49.2492168";"Rybník Hádek";"Lake (pond)";"3.0";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202752/1f264f59-fc48-41e9-b875-a0dc243cce32.jpg";"swimplaces:66";"";"";"";"";"";"";"No restaurant";"Not suitable for diving";"No entrance fee";"";"";"Not suitable for nudists";"";""
"202753";"16.6084423";"49.2243587";"Koupaliště Krpole";"Swimming pool";"";"https://media.mapotic.com/cdn-cgi/image/metadata=none,width=900,height=900/media/image/geo/2941/202753/65bf7617-ac07-4498-b5aa-74000edda123.jpg";"swimplaces:67";"";"";"";"";"";"Platí se vstupné.";"Restaurant on site";"Not suitable for diving";"Entrance fee";"";"http://www.koupalistekrpole.cz/koupaliste-brno/uvod/";"Not suitable for nudists";"";""
